Country,Year,Air_Quality_CO,Fires
Austria,1990,5.0778,0.0
Austria,1991,4.998210526315789,0.0
Austria,1992,3.667212765957447,0.0
Austria,1993,3.5607735849056605,0.0
Austria,1994,2.7416617647058823,0.0
Austria,1995,2.6896666666666667,0.0
Austria,1996,2.3995571428571427,0.0
Austria,1997,2.222378947368421,0.0
Austria,1998,2.249826530612245,0.0
Austria,1999,1.949234693877551,0.0
Austria,2000,1.8335,0.0
Austria,2001,1.7594891304347826,0.0
Austria,2002,1.7225555555555556,0.0
Austria,2003,1.5875222222222225,0.0
Austria,2004,1.4435232558139537,0.0
Austria,2005,1.4175375,0.0
Austria,2006,1.5173048780487806,0.0
Austria,2007,1.2989285714285714,0.0
Austria,2008,1.14245,0.0
Austria,2009,1.265548780487805,0.0
Austria,2010,1.212318181818182,0.0
Austria,2011,1.1345277777777776,0.0
Austria,2012,0.9933859649122808,0.0
Austria,2013,0.7040689655172414,0.0
Austria,2014,0.5885542168674699,0.0
Austria,2015,0.7132738095238095,0.0
Austria,2016,0.61084,0.0
Austria,2017,0.6573589743589744,0.0
Austria,2018,0.4947307692307692,0.0
Austria,2019,0.5501728395061728,38.0
Austria,2020,0.5399259259259259,168.0
Austria,2021,0.4398888888888889,0.0
Belgium,1990,0.0,0.0
Belgium,1991,0.0,0.0
Belgium,1992,0.0,0.0
Belgium,1993,0.0,0.0
Belgium,1994,2.3823333333333334,0.0
Belgium,1995,2.66525,0.0
Belgium,1996,2.5660000000000003,0.0
Belgium,1997,4.2165,0.0
Belgium,1998,1.9863,0.0
Belgium,1999,1.6779285714285714,0.0
Belgium,2000,1.7106666666666666,0.0
Belgium,2001,1.993,0.0
Belgium,2002,1.2548076923076923,0.0
Belgium,2003,1.59665625,0.0
Belgium,2004,1.402205882352941,0.0
Belgium,2005,1.3283030303030303,0.0
Belgium,2006,0.1107333333333333,0.0
Belgium,2007,0.0143571428571428,0.0
Belgium,2008,1.1580555555555554,0.0
Belgium,2009,0.9280789473684212,0.0
Belgium,2010,0.774,0.0
Belgium,2011,0.852047619047619,2180.0
Belgium,2012,0.758159090909091,0.0
Belgium,2013,0.5235166666666667,0.0
Belgium,2014,0.4415087719298246,0.0
Belgium,2015,0.4447017543859649,109.0
Belgium,2016,0.5186666666666666,54.0
Belgium,2017,0.4698888888888888,0.0
Belgium,2018,0.4672592592592592,166.0
Belgium,2019,0.4402280701754386,315.0
Belgium,2020,0.3921333333333333,0.0
Belgium,2021,0.4315,659.0
Bulgaria,1990,0.0,0.0
Bulgaria,1991,0.0,0.0
Bulgaria,1992,0.0,0.0
Bulgaria,1993,0.0,0.0
Bulgaria,1994,0.0,0.0
Bulgaria,1995,0.0,0.0
Bulgaria,1996,0.0,0.0
Bulgaria,1997,0.0,0.0
Bulgaria,1998,4.000125,0.0
Bulgaria,1999,3.4934,0.0
Bulgaria,2000,5.977125,0.0
Bulgaria,2001,4.16875,0.0
Bulgaria,2002,0.0,0.0
Bulgaria,2003,5.43675,0.0
Bulgaria,2004,5.629666666666666,0.0
Bulgaria,2005,3.9258888888888888,0.0
Bulgaria,2006,4.472058823529412,1596.0
Bulgaria,2007,3.9521,67598.0
Bulgaria,2008,3.25585,5730.0
Bulgaria,2009,3.30140625,1564.0
Bulgaria,2010,3.4125,28.0
Bulgaria,2011,3.259558823529412,11592.0
Bulgaria,2012,2.990676470588236,16700.0
Bulgaria,2013,1.7358958333333332,2992.0
Bulgaria,2014,1.5892291666666667,0.0
Bulgaria,2015,1.6497272727272725,3287.0
Bulgaria,2016,0.9633636363636364,11483.0
Bulgaria,2017,1.617392156862745,5214.0
Bulgaria,2018,1.4405925925925926,2025.0
Bulgaria,2019,1.2556274509803922,13828.0
Bulgaria,2020,1.0779347826086956,8844.0
Bulgaria,2021,0.8522291666666666,3887.0
Croatia,1990,0.0,0.0
Croatia,1991,0.0,0.0
Croatia,1992,0.0,0.0
Croatia,1993,0.0,0.0
Croatia,1994,0.0,0.0
Croatia,1995,0.0,0.0
Croatia,1996,0.0,0.0
Croatia,1997,0.0,0.0
Croatia,1998,0.0,0.0
Croatia,1999,0.0,0.0
Croatia,2000,0.0,0.0
Croatia,2001,0.0,0.0
Croatia,2002,0.0,0.0
Croatia,2003,0.0,0.0
Croatia,2004,0.0,0.0
Croatia,2005,0.0,0.0
Croatia,2006,2.2531875,2708.0
Croatia,2007,0.0,17189.0
Croatia,2008,1.7743125,3216.0
Croatia,2009,1.6100714285714286,2208.0
Croatia,2010,1.7076666666666669,330.0
Croatia,2011,1.172375,15392.0
Croatia,2012,1.565875,33070.0
Croatia,2013,0.0,1017.0
Croatia,2014,0.0,304.0
Croatia,2015,1.1194166666666667,7866.0
Croatia,2016,1.19875,9111.0
Croatia,2017,1.0265833333333332,67343.0
Croatia,2018,0.8669166666666667,1289.0
Croatia,2019,0.6932499999999999,11957.0
Croatia,2020,0.8105833333333333,27477.0
Croatia,2021,0.4939,9607.0
Cyprus,1990,0.0,0.0
Cyprus,1991,0.0,0.0
Cyprus,1992,0.0,0.0
Cyprus,1993,0.0,0.0
Cyprus,1994,0.0,0.0
Cyprus,1995,0.0,0.0
Cyprus,1996,0.0,0.0
Cyprus,1997,0.0,0.0
Cyprus,1998,0.0,0.0
Cyprus,1999,0.0,0.0
Cyprus,2000,0.0,0.0
Cyprus,2001,0.0,0.0
Cyprus,2002,0.0,0.0
Cyprus,2003,3.694,0.0
Cyprus,2004,3.3095,356.0
Cyprus,2005,2.7315,0.0
Cyprus,2006,2.864,291.0
Cyprus,2007,2.3680000000000003,2526.0
Cyprus,2008,1.8315,1947.0
Cyprus,2009,1.9255,0.0
Cyprus,2010,2.287,1123.0
Cyprus,2011,1.9315,939.0
